"","HL_5N2_t0_R1","HL_5N2_t0_R2","HL_5N2_t0_R3","HL_5N2_t0_R4","HL_5N2_t1_R1","HL_5N2_t1_R2","HL_5N2_t1_R3","HL_5N2_t1_R4","HL_5N2_t2_R1","HL_5N2_t2_R2","HL_5N2_t2_R3","HL_5N2_t2_R4","HL_5N2_t3_R1","HL_5N2_t3_R2","HL_5N2_t3_R3","HL_5N2_t3_R4","HL_5N2_t4_R1","HL_5N2_t4_R2","HL_5N2_t4_R3","HL_5N2_t4_R4","HL_5N2_t5_R1","HL_5N2_t5_R2","HL_5N2_t5_R3","HL_5N2_t5_R4","HL_5N2_t6_R1","HL_5N2_t6_R2","HL_5N2_t6_R3","HL_5N2_t6_R4","HL_5N2_t7_R1","HL_5N2_t7_R2","HL_5N2_t7_R3","HL_5N2_t7_R4","LD_N2_t0_R1","LD_N2_t0_R2","LD_N2_t0_R3","LD_N2_t1_R1","LD_N2_t1_R2","LD_N2_t1_R3","LD_N2_t2_R1","LD_N2_t2_R2","LD_N2_t2_R3","LD_N2_t3_R1","LD_N2_t3_R2","LD_N2_t3_R3","LD_N2_t4_R1","LD_N2_t4_R2","LD_N2_t4_R3","LD_N2_t5_R1","LD_N2_t5_R2","LD_N2_t5_R3"
"HL_5N2_t4_R4",-0.499696818713691,-0.599114534693918,-0.618328017924697,-0.572111211363595,-0.449613601458758,-0.403416952898342,-0.391658707279776,-0.5051160937265,0.719374995758722,0.672958827355047,0.782841993482036,0.743988520652195,0.84916077380329,0.70632031543368,0.960620984672515,0.901429474734186,0.920704454041004,0.688903950377994,0.952301361104421,1,0.877416274243133,0.632702768530675,0.964874571212427,0.969812061359764,0.803872493283286,0.587504917773622,0.988852676453538,0.880880275942764,0.723980597292432,0.569888614958157,0.953048388033356,0.801693083102972,-0.536552544517354,-0.584885873528546,-0.530131420227343,-0.181899588564669,-0.542331681073579,0.71202760632858,0.634308293510468,0.0204652948836705,0.988150111788431,0.439982854830393,0.176215831626852,0.919792520687947,0.32386177668549,0.252690780851989,0.825214368239296,0.299537504681495,0.247733344021252,0.783618338352278
"HL_5N2_t5_R1",-0.260903306621144,-0.387876545155857,-0.416881561944149,-0.345576580853879,-0.251156804683143,-0.174061022809612,-0.275460313796386,-0.244801926606768,0.896713109974019,0.909952256020163,0.929973606677027,0.888696621343059,0.961914713859425,0.925541080548351,0.900364354404992,0.965117913748032,0.949071822277267,0.937838974321838,0.732603753375507,0.877416274243133,1,0.905105312118683,0.753539164290681,0.961730071184558,0.988317327158283,0.872064830063608,0.871235480177957,0.995203882899417,0.960330539477532,0.857234272774619,0.966977620555526,0.987447053221833,-0.323291226395504,-0.388735901529029,-0.2914523736573,-0.189357212972945,-0.555186513023046,0.664388639218223,0.259456552686563,-0.440811512513573,0.843276916787641,0.0053786705055183,-0.29781665510532,0.975992328446639,-0.135966161924083,-0.219420377167958,0.986046060550611,-0.161182146988154,-0.223431243057002,0.978056324977634
"HL_5N2_t5_R2",-0.0631736114613011,-0.214613530182081,-0.245307104285225,-0.167455474463931,-0.0906316056601552,-0.0081229946006208,-0.186592316991903,-0.0508466192749389,0.916912709655072,0.983629899869467,0.943620014809624,0.899896351466077,0.927272583143953,0.988484290208877,0.73927748610895,0.877655568393583,0.760347558882496,0.994468662461089,0.481615303343356,0.632702768530675,0.905105312118683,1,0.478716657621585,0.777464796397379,0.942784945745836,0.996387000352294,0.638344344271863,0.887694303717286,0.971675083413657,0.993028435776935,0.796933897039612,0.942637114584844,-0.151185066262743,-0.228864513976972,-0.100594868251083,-0.204678983738052,-0.531256836355107,0.54174378220995,-0.0344220755759984,-0.725899780182982,0.601237483727951,-0.293610310832938,-0.594325083114366,0.875651858617911,-0.420997289321406,-0.506052890495064,0.94758585655838,-0.441566804175079,-0.500413988914214,0.957067778918879
"HL_5N2_t5_R3",-0.586584215115841,-0.663779777830583,-0.68400414064729,-0.642794082882931,-0.521304483319759,-0.487851757127247,-0.447829877525816,-0.616991535732091,0.586571603885641,0.533881410187342,0.680274194324511,0.62441168820893,0.747182486631789,0.575075593559181,0.926460026532229,0.80486887573183,0.834790142466397,0.536616615020913,0.98322212977613,0.964874571212427,0.753539164290681,0.478716657621585,1,0.892362782492433,0.652470821687416,0.436028595186985,0.976365129744626,0.752332900871947,0.558749888906612,0.420094301522121,0.880087023739418,0.653509342212827,-0.613698916962613,-0.646243814071093,-0.601057332946106,-0.217965584722016,-0.535812090111795,0.645718073709687,0.720755220629433,0.18711918990584,0.954772769931838,0.577398102416008,0.353151104381969,0.817154570138823,0.494462224103263,0.435754751429601,0.683707014396257,0.479899618013205,0.424773311244991,0.629174978852186
"HL_5N2_t5_R4",-0.414591349943247,-0.520867016412867,-0.549588165172894,-0.493173137084772,-0.376906447806741,-0.317250338455535,-0.354210494111594,-0.408344016479408,0.809062161488175,0.801201063654861,0.866408613180074,0.819869876095854,0.918425840584503,0.825137565704607,0.95646123691714,0.949462685154204,0.968896649743788,0.82129025049759,0.867632274069964,0.969812061359764,0.961730071184558,0.777464796397379,0.892362782492433,1,0.916080198481994,0.733658283795106,0.962922505730106,0.966606214219707,0.861179195390956,0.716173739831955,0.987911780724822,0.918248689530639,-0.457892359582354,-0.509168712424968,-0.431144491131827,-0.202603517802797,-0.576850802765004,0.682303542608606,0.462467245874465,-0.209145184462908,0.942700883690629,0.230051613151134,-0.0559363917304477,0.971033312600292,0.104464378387615,0.0277185763707622,0.923089056604429,0.0828725605219521,0.0209750106453643,0.89601818398146
"HL_5N2_t6_R1",-0.189328627185136,-0.318418707977608,-0.343574785929115,-0.275061975516203,-0.191692990348269,-0.109577260791271,-0.230570584106944,-0.16242042131981,0.903231777695285,0.934399429912101,0.925555626303286,0.886083599655679,0.946099561889021,0.944459188813119,0.83573071781326,0.938496671555268,0.908380722344849,0.965955530882735,0.633545086973292,0.803872493283286,0.988317327158283,0.942784945745836,0.652470821687416,0.916080198481994,1,0.914764863065488,0.791638184010558,0.98436914352788,0.989092777949434,0.901919072702284,0.921484365998434,0.997408970852824,-0.254388561844874,-0.321829094334317,-0.21893328357989,-0.185357052430441,-0.539632821003822,0.611209855295962,0.153854539796688,-0.547300064210553,0.769558368934733,-0.108915744328166,-0.417528044078926,0.95434172925549,-0.254496706592287,-0.338994759277924,0.99294581021889,-0.279135023833413,-0.341321923782988,0.995747244751313
"HL_5N2_t6_R2",-0.0348499310985374,-0.191472296124583,-0.221191436006678,-0.142438262059831,-0.0713102578302035,0.0143711730863027,-0.17833280142492,-0.026008646891493,0.910934027403843,0.977878246793521,0.935805645112886,0.892408949334889,0.911318299568116,0.984564637428702,0.707353229451274,0.854564607918593,0.708854404452342,0.985763889513975,0.448319845551328,0.587504917773622,0.872064830063608,0.996387000352294,0.436028595186985,0.733658283795106,0.914764863065488,1,0.595776593136074,0.849486895970077,0.949495240803664,0.999366470603587,0.758223495915878,0.912665554457638,-0.131303940767253,-0.211372689144515,-0.0789054221429196,-0.208367649847028,-0.524471995260196,0.521483233662328,-0.0708538742077268,-0.750166434527186,0.558080780741883,-0.323037566446049,-0.61736196930694,0.845613883438986,-0.44557823870416,-0.529314762486629,0.923113401938154,-0.465092560248105,-0.521845334104897,0.934832418440969
"HL_5N2_t6_R3",-0.530014162983658,-0.632023806426771,-0.655374727491203,-0.602033136390059,-0.487760929173543,-0.441227993812993,-0.444679668775933,-0.553473967853099,0.704447223221013,0.679462212949234,0.792047782799969,0.730358818566599,0.852442966239393,0.714298924295556,0.966298959519509,0.892111892296154,0.917355923545712,0.690496987460912,0.957363200156607,0.988852676453538,0.871235480177957,0.638344344271863,0.976365129744626,0.962922505730106,0.791638184010558,0.595776593136074,1,0.871552558463576,0.715476187925872,0.578892826581438,0.958663113678196,0.794571831131498,-0.571933022566688,-0.619152697367028,-0.550255154048123,-0.241820294610471,-0.592887935090923,0.683689213501404,0.592387045208668,-0.00521359774303431,0.965261827271072,0.417418077944522,0.162618819343683,0.908003114217639,0.318509073047483,0.249419622930021,0.814820309468588,0.298034632043489,0.242072318232125,0.769194347197317
"HL_5N2_t6_R4",-0.284280112242969,-0.407224063190738,-0.43377086233886,-0.369223033039512,-0.269694683712133,-0.205309032526601,-0.286148418538776,-0.269079256502729,0.865161645723632,0.891519479809996,0.905573342775243,0.860747581056459,0.941457739156912,0.902682771468515,0.889365712655648,0.947237834135038,0.958335731521649,0.919399043321187,0.72525736212206,0.880880275942764,0.995203882899417,0.887694303717286,0.752332900871947,0.966606214219707,0.98436914352788,0.849486895970077,0.871552558463576,1,0.958095741136748,0.833175586719633,0.963500861884727,0.986960853065062,-0.337467558723449,-0.400571841505934,-0.304673940798488,-0.195813402294448,-0.561425949272745,0.646117914029628,0.259104492980602,-0.423991243143655,0.844445852895232,0.0104520601416895,-0.290824262861208,0.971676197829865,-0.127266959253701,-0.20893082859891,0.980569108964034,-0.15320345791116,-0.212114361806904,0.969922809904805
"HL_5N2_t7_R1",-0.129200300463291,-0.264261100233796,-0.290862477214117,-0.222196474381787,-0.140336784114457,-0.0648173387628841,-0.201130862707611,-0.106035099617112,0.896617212542325,0.956726013768653,0.920351515584447,0.878157055755679,0.927522836445389,0.957866220362952,0.77808215175896,0.901707295881505,0.860015902871841,0.981365536931322,0.541136253849109,0.723980597292432,0.960330539477532,0.971675083413657,0.558749888906612,0.861179195390956,0.989092777949434,0.949495240803664,0.715476187925872,0.958095741136748,1,0.939250741867269,0.866363549016904,0.990017762940823,-0.196466028460373,-0.265497797014476,-0.155905007739293,-0.191600224979504,-0.530570019142318,0.559458373275644,0.0490684112091517,-0.642932139371996,0.687224327224521,-0.215717076607121,-0.524490528021787,0.920190159681738,-0.356268244956342,-0.441511113179331,0.981942037680738,-0.380117548540648,-0.440189796243673,0.989197410049978
"HL_5N2_t7_R2",-0.0259163978094973,-0.182875048071963,-0.213279588258128,-0.135643675305893,-0.0632217253704682,0.0216787653438522,-0.175618302010235,-0.0186672718066691,0.906860110290655,0.974241513105695,0.930898311149929,0.887922719831751,0.903577215536109,0.981246336405396,0.694885503133107,0.844311965263379,0.686983088423339,0.979868431221075,0.436490508854827,0.569888614958157,0.857234272774619,0.993028435776935,0.420094301522121,0.716173739831955,0.901919072702284,0.999366470603587,0.578892826581438,0.833175586719633,0.939250741867269,1,0.74163662817895,0.89906439415032,-0.123722062298657,-0.204580250591405,-0.0723801054459147,-0.211505895174655,-0.521481846483356,0.50907143154065,-0.0808735090245061,-0.757023949814093,0.541714619803377,-0.331523809767425,-0.623179198916001,0.833232731747776,-0.451943306640893,-0.534941949559579,0.9119215314807,-0.470487261012768,-0.527102919473503,0.924409057005025
"HL_5N2_t7_R3",-0.380613667710157,-0.493600407503285,-0.525548335386729,-0.462789442068428,-0.359222081205745,-0.28885408310681,-0.354809120586765,-0.382298722815988,0.830768997277469,0.819237684786219,0.884308118945369,0.831502525952942,0.931811423031224,0.845974400282332,0.954601868261476,0.954489705152562,0.95497305578743,0.841924781331284,0.860269018120995,0.953048388033356,0.966977620555526,0.796933897039612,0.880087023739418,0.987911780724822,0.921484365998434,0.758223495915878,0.958663113678196,0.963500861884727,0.866363549016904,0.74163662817895,1,0.921772757346964,-0.429760815044306,-0.492480491927093,-0.408796912897426,-0.216121362510164,-0.581804774489247,0.692303337167306,0.39915525318734,-0.254359758648948,0.918153054949002,0.177039644476235,-0.0887220014246445,0.963090451104744,0.0591740252776559,-0.0152204034639116,0.926667234128657,0.0372284043048175,-0.0245686094748484,0.902930141350428
"HL_5N2_t7_R4",-0.192655726635069,-0.322639943191005,-0.350044939800894,-0.278849748154136,-0.19420942433065,-0.118467410467647,-0.233212080398914,-0.1696960257425,0.893819120792105,0.935517060167201,0.924741105607715,0.880765904171934,0.943549216942479,0.942607717531049,0.837445274365109,0.932023643369974,0.915254145424267,0.963561039324251,0.626835055951484,0.801693083102972,0.987447053221833,0.942637114584844,0.653509342212827,0.918248689530639,0.997408970852824,0.912665554457638,0.794571831131498,0.986960853065062,0.990017762940823,0.89906439415032,0.921772757346964,1,-0.257951581817619,-0.321563419027135,-0.212044532597828,-0.184374216219218,-0.544117249257929,0.610271783728013,0.139840530087428,-0.554919990736119,0.763088077300342,-0.124543815660437,-0.427984254093091,0.951675278865215,-0.263848668993148,-0.345398561054145,0.98914820341968,-0.287450256177058,-0.348899064514904,0.989478807704287
"LD_N2_t0_R1",0.924866139139439,0.973460852666766,0.933679923348798,0.918175635025771,0.960762887639412,0.947780208898757,0.929495711598025,0.919378230162481,-0.0216109359092516,-0.0995025855209891,-0.227773447772756,-0.0484023567882798,-0.287382514007624,-0.190077468540076,-0.414861628130492,-0.292747453659468,-0.400332337998076,-0.1737639085471,-0.598994660306427,-0.536552544517354,-0.323291226395504,-0.151185066262743,-0.613698916962613,-0.457892359582354,-0.254388561844874,-0.131303940767253,-0.571933022566688,-0.337467558723449,-0.196466028460373,-0.123722062298657,-0.429760815044306,-0.257951581817619,1,0.977449931540415,0.90489349322439,0.726474072180112,0.84388515809162,-0.0106029976585739,-0.442071759030973,-0.239682511462191,-0.508262236882458,-0.567687025481132,-0.385732002753641,-0.408403828095247,-0.573321368307204,-0.547270761686008,-0.31008101531818,-0.564946058050443,-0.548711696352345,-0.253812911743337
"LD_N2_t0_R2",0.915826753311869,0.98355976085653,0.935206105771241,0.924482332272337,0.923563774239245,0.943946499142886,0.934253620758739,0.928336423873044,-0.103171999616853,-0.181522222794711,-0.305746746343914,-0.136720538544699,-0.366111155895747,-0.267189361656111,-0.474596496321526,-0.363481979551866,-0.451241995252621,-0.25132601790593,-0.650694821471826,-0.584885873528546,-0.388735901529029,-0.228864513976972,-0.646243814071093,-0.509168712424968,-0.321829094334317,-0.211372689144515,-0.619152697367028,-0.400571841505934,-0.265497797014476,-0.204580250591405,-0.492480491927093,-0.321563419027135,0.977449931540415,1,0.906043426415103,0.72942223909571,0.858895904354922,-0.0972282059786363,-0.421822170243807,-0.199504347268835,-0.561068820971521,-0.557068562303937,-0.355575791867504,-0.475825188563293,-0.55334977931781,-0.519319722958307,-0.386498308087628,-0.534981536291638,-0.525502541709905,-0.328843073482041
"LD_N2_t0_R3",0.958651574878746,0.930103142304703,0.956723781938985,0.971940479570259,0.904891913197401,0.924822453256623,0.869335973634727,0.912095386226788,0.00518907837519659,-0.0448599437107445,-0.150995894738732,-0.00528417349931599,-0.24312554218505,-0.143280996075922,-0.400383194134094,-0.273602529371588,-0.375617427000742,-0.124998356697375,-0.616773902143796,-0.530131420227343,-0.2914523736573,-0.100594868251083,-0.601057332946106,-0.431144491131827,-0.21893328357989,-0.0789054221429196,-0.550255154048123,-0.304673940798488,-0.155905007739293,-0.0723801054459147,-0.408796912897426,-0.212044532597828,0.90489349322439,0.906043426415103,1,0.789167633327708,0.778040446362736,0.0485105551686176,-0.503522228279589,-0.316078996702316,-0.537628719247542,-0.668437077757101,-0.515630321800158,-0.376757679827665,-0.665753798353311,-0.622944759697474,-0.281973958834388,-0.656407160704935,-0.631634644101063,-0.227377159224451
"LD_N2_t1_R1",0.78708010216978,0.723312025832438,0.793581244718929,0.798048415752531,0.769212234824042,0.779451405020128,0.868279787667594,0.71714903172434,0.0711189062563736,-0.0893834690212065,-0.0883940520783112,0.102952906184484,-0.134584003519414,-0.184200289994129,-0.121964732413603,-0.100148119724922,-0.16860981751158,-0.181169999835516,-0.227886265450542,-0.181899588564669,-0.189357212972945,-0.204678983738052,-0.217965584722016,-0.202603517802797,-0.185357052430441,-0.208367649847028,-0.241820294610471,-0.195813402294448,-0.191600224979504,-0.211505895174655,-0.216121362510164,-0.184374216219218,0.726474072180112,0.72942223909571,0.789167633327708,1,0.848658082861859,0.41333851555613,0.0491117116509675,0.159700055466291,-0.155102389162153,-0.153098835462063,-0.044269142604136,-0.208106300536502,-0.193286600168545,-0.165848436298939,-0.227109866037168,-0.206485428612623,-0.168878063995767,-0.207882569415133
"LD_N2_t1_R2",0.793582192039165,0.847731702371701,0.855322793064484,0.831328291728651,0.846080142322748,0.780395483554714,0.886727295153244,0.760191856501812,-0.303621062106873,-0.449618374685133,-0.49230836950266,-0.294254614413416,-0.522962807427063,-0.536337109417302,-0.506223764858532,-0.490932233776083,-0.520072702637313,-0.523280466092885,-0.535492828171487,-0.542331681073579,-0.555186513023046,-0.531256836355107,-0.535812090111795,-0.576850802765004,-0.539632821003822,-0.524471995260196,-0.592887935090923,-0.561425949272745,-0.530570019142318,-0.521481846483356,-0.581804774489247,-0.544117249257929,0.84388515809162,0.858895904354922,0.778040446362736,0.848658082861859,1,-0.00432953023047057,-0.109689744273158,0.266081479761526,-0.497314232403984,-0.16191971303506,0.0598090156040766,-0.590413556395927,-0.157214769615723,-0.100537832755295,-0.581979481700257,-0.156170028977884,-0.108174546454434,-0.551258107037254
