sgRNA	condition	time	group	reference_group	baseMean	log2FoldChange	lfcSE	stat	pvalue	padj	fitness
B	HL_5N2	5.2	29	26	3341.208878233105	-0.06661747165443457	0.23670629973851964	-0.2814351444301412	0.7783766655949164	0.8895733321084758	-0.018824882918210394
B	HL_5N2	7.3	30	26	3341.208878233105	0.11453645669953931	0.2397201836433687	0.4777922949947969	0.632798045704372	0.7788283639438426	-0.018824882918210394
B	HL_5N2	8.8	31	26	3341.208878233105	0.07870542924642115	0.23728520102578515	0.3316912681708643	0.7401223947596889	0.8458541654396444	-0.018824882918210394
B	HL_5N2	10.01	32	26	3341.208878233105	-0.12523879738356947	0.23718544707184974	-0.5280205802240107	0.5974850519195238	0.6828400593365986	-0.018824882918210394
B	HL_5N2	11.6	33	26	3341.208878233105	-0.1339073167144479	0.23913452636270774	-0.5599664705519927	0.5755023080668378	0.6577169235049575	-0.018824882918210394
B	LD_N2	0	5	5	NA	0	0	NA	1	1	0.7144734430019365
B	LD_N2	3.4	6	5	3341.208878233105	-0.045555722251948254	0.2734527807137168	-0.1665944743112393	0.8676891417995436	0.9429977712811921	0.7144734430019365
B	LD_N2	5.8	7	5	3341.208878233105	0.14983756628104375	0.2732284451248049	0.5483966583808695	0.5834195704433176	0.9053987046709127	0.7144734430019365
B	LD_N2	7.4	8	5	3341.208878233105	0.35734583917390605	0.27493011344476576	1.2997697294650767	0.19367990325918003	0.51647974202448	0.7144734430019365
B	LD_N2	9.5	9	5	3341.208878233105	1.1624184155592971	0.27419529567053763	4.239381323872214	2.2413664704900578e-5	5.976977254640154e-5	0.7144734430019365
B	LD_N2	10.8	10	5	3341.208878233105	1.6206029927022885	0.2733233085189317	5.929252801321324	3.0431626539698884e-9	1.2172650615879554e-8	0.7144734430019365
E	HL_5N2	0	26	26	NA	0	0	NA	1	1	1.7386603341366549
E	HL_5N2	2.2	27	26	7087.16371118769	-0.005269818931621795	0.6462573265762636	-0.008154366248410979	0.9934938291705573	0.9991336400486256	1.7386603341366549
E	HL_5N2	4.1	28	26	7087.16371118769	0.1864776582625422	0.6461101725836631	0.2886158834442368	0.7728753393084722	0.7855058969042003	1.7386603341366549
E	HL_5N2	5.2	29	26	7087.16371118769	0.28142638180539953	0.6461162086200176	0.43556620009034164	0.6631514984257143	0.8161864596008792	1.7386603341366549
E	HL_5N2	7.3	30	26	7087.16371118769	0.9521948015631091	0.6466556870883186	1.4724911890136378	0.14088828459731392	0.2554513917749357	1.7386603341366549
E	HL_5N2	8.8	31	26	7087.16371118769	1.6037860614178616	0.6461502504854916	2.482063668957554	0.01306239334532677	0.02612478669065354	1.7386603341366549
E	HL_5N2	10.01	32	26	7087.16371118769	2.3356563002690827	0.6461083442592171	3.6149607430731816	3.003931370574235e-4	6.866128847026823e-4	1.7386603341366549
E	HL_5N2	11.6	33	26	7087.16371118769	2.777402254224474	0.6461765271536708	4.298209757724555	1.721831797722247e-5	3.93561553765085e-5	1.7386603341366549
E	LD_N2	0	5	5	NA	0	0	NA	1	1	-0.24400370170444058
E	LD_N2	3.4	6	5	7087.16371118769	-0.13353002569824426	0.7461316372443719	-0.17896309314988973	0.8579666811917599	0.9429977712811921	-0.24400370170444058
E	LD_N2	5.8	7	5	7087.16371118769	-0.4286789777773661	0.7460849289757016	-0.5745712868987966	0.5655812756467595	0.9053987046709127	-0.24400370170444058
E	LD_N2	7.4	8	5	7087.16371118769	-0.2855590566095812	0.7468971204409316	-0.3823271623285963	0.7022187096523378	0.9705955303257396	-0.24400370170444058
E	LD_N2	9.5	9	5	7087.16371118769	0.1561757256979702	0.7466953781507683	0.20915587569960306	0.834326556657791	0.8899483271016437	-0.24400370170444058
E	LD_N2	10.8	10	5	7087.16371118769	0.2919393260259031	0.7462092320577316	0.39122985013312833	0.6956273459369283	0.7420025023327236	-0.24400370170444058
G	HL_5N2	0	26	26	NA	0	0	NA	1	1	0.2747362732566453
G	HL_5N2	2.2	27	26	3834.1941273568527	0.02315714087597017	0.17491400718082895	0.13239157486129707	0.8946745783060682	0.9991336400486256	0.2747362732566453
G	HL_5N2	4.1	28	26	3834.1941273568527	-0.04745475541155967	0.17436919561467548	-0.2721510255539983	0.7855058969042003	0.7855058969042003	0.2747362732566453
G	HL_5N2	5.2	29	26	3834.1941273568527	-0.002479477031368715	0.17440473101073303	-0.014216799148734822	0.988657017558788	0.988657017558788	0.2747362732566453
G	HL_5N2	7.3	30	26	3834.1941273568527	0.23919053320487219	0.17739134462487421	1.3483776996599435	0.17753693275875218	0.2840590924140035	0.2747362732566453
G	HL_5N2	8.8	31	26	3834.1941273568527	0.40642835396376603	0.17489667725593191	2.3238197565584757	0.02013515640633534	0.032216250250136545	0.2747362732566453
G	HL_5N2	10.01	32	26	3834.1941273568527	0.2894224817634924	0.17477045333804306	1.6560149398004251	0.09771879337946984	0.14213642673377433	0.2747362732566453
G	HL_5N2	11.6	33	26	3834.1941273568527	0.2952235076751838	0.17641025458397375	1.673505366065062	0.09422785106656731	0.13705869246046154	0.2747362732566453
G	LD_N2	0	5	5	NA	0	0	NA	1	1	0.4854053335551128
G	LD_N2	3.4	6	5	3834.1941273568527	0.01477860503731289	0.20158071252865517	0.07331358666177984	0.9415565802029375	0.9429977712811921	0.4854053335551128
G	LD_N2	5.8	7	5	3834.1941273568527	0.053377877419211704	0.2013429315743527	0.2651092690557161	0.7909252870721304	0.9053987046709127	0.4854053335551128
G	LD_N2	7.4	8	5	3834.1941273568527	0.1596282265281056	0.2036443721293641	0.7838577853096895	0.43312356252351014	0.8662471250470203	0.4854053335551128
G	LD_N2	9.5	9	5	3834.1941273568527	0.8187169501677852	0.202830539402634	4.036457983985192	5.426423840078104e-5	1.2403254491607095e-4	0.4854053335551128
G	LD_N2	10.8	10	5	3834.1941273568527	1.2068370113673041	0.20155559798880782	5.987613459559276	2.129423935973369e-9	1.1356927658524635e-8	0.4854053335551128
I	HL_5N2	0	26	26	NA	0	0	NA	1	1	2.1598743041246244
I	HL_5N2	2.2	27	26	9497.086057418199	-0.009221683600711043	0.7888176874987144	-0.011690513215990827	0.9906725324587929	0.9991336400486256	2.1598743041246244
I	HL_5N2	4.1	28	26	9497.086057418199	0.3910374320669203	0.7887012383120988	0.4957991861452891	0.6200360991392722	0.7086126847305967	2.1598743041246244
I	HL_5N2	5.2	29	26	9497.086057418199	0.5143329364844315	0.7887046841791263	0.6521235980990053	0.514321441952135	0.7401755211573244	2.1598743041246244
I	HL_5N2	7.3	30	26	9497.086057418199	1.1537563466381822	0.7890649276051996	1.4621817625829798	0.14369140787340134	0.2554513917749357	2.1598743041246244
I	HL_5N2	8.8	31	26	9497.086057418199	1.8667163551872545	0.7887257710292993	2.366749539261486	0.017945072289456302	0.031902350736811205	2.1598743041246244
I	HL_5N2	10.01	32	26	9497.086057418199	2.791972342399029	0.7886963156317635	3.5399840053298544	4.001512827705358e-4	8.003025655410716e-4	2.1598743041246244
I	HL_5N2	11.6	33	26	9497.086057418199	3.297815351248691	0.7887317682239081	4.181162068157619	2.9002304466677183e-5	5.8004608933354365e-5	2.1598743041246244
I	LD_N2	0	5	5	NA	0	0	NA	1	1	0.05502363697491951
I	LD_N2	3.4	6	5	9497.086057418199	-0.08767259049060393	0.9107808919837213	-0.09626090233365472	0.9233133622574916	0.9429977712811921	0.05502363697491951
I	LD_N2	5.8	7	5	9497.086057418199	-0.3158925610605405	0.9107402541716629	-0.3468525297016231	0.7287021109872779	0.9053987046709127	0.05502363697491951
