"","HL_5N2_t0_R1","HL_5N2_t0_R2","HL_5N2_t0_R3","HL_5N2_t0_R4","HL_5N2_t1_R1","HL_5N2_t1_R2","HL_5N2_t1_R3","HL_5N2_t1_R4","HL_5N2_t2_R1","HL_5N2_t2_R2","HL_5N2_t2_R3","HL_5N2_t2_R4","HL_5N2_t3_R1","HL_5N2_t3_R2","HL_5N2_t3_R3","HL_5N2_t3_R4","HL_5N2_t4_R1","HL_5N2_t4_R2","HL_5N2_t4_R3","HL_5N2_t4_R4","HL_5N2_t5_R1","HL_5N2_t5_R2","HL_5N2_t5_R3","HL_5N2_t5_R4","HL_5N2_t6_R1","HL_5N2_t6_R2","HL_5N2_t6_R3","HL_5N2_t6_R4","HL_5N2_t7_R1","HL_5N2_t7_R2","HL_5N2_t7_R3","HL_5N2_t7_R4","HL_5O2_t0_R1","HL_5O2_t0_R2","HL_5O2_t0_R3","HL_5O2_t0_R4","HL_5O2_t1_R1","HL_5O2_t1_R2","HL_5O2_t1_R3","HL_5O2_t1_R4","HL_5O2_t2_R1","HL_5O2_t2_R2","HL_5O2_t2_R3","HL_5O2_t2_R4","HL_5O2_t3_R1","HL_5O2_t3_R2","HL_5O2_t3_R3","HL_5O2_t3_R4","HL_5O2_t4_R1","HL_5O2_t4_R2","HL_5O2_t4_R3","HL_5O2_t4_R4","HL_5O2_t5_R1","HL_5O2_t5_R2","HL_5O2_t5_R3","HL_5O2_t5_R4","HL_5O2_t6_R1","HL_5O2_t6_R2","HL_5O2_t6_R3","HL_5O2_t6_R4","HL_5O2_t7_R1","HL_5O2_t7_R2","HL_5O2_t7_R3","HL_5O2_t7_R4","LD_N2_t0_R1","LD_N2_t0_R2","LD_N2_t1_R1","LD_N2_t1_R2","LD_N2_t2_R1","LD_N2_t2_R2","LD_N2_t3_R1","LD_N2_t3_R2","LD_N2_t4_R1","LD_N2_t4_R2","LD_N2_t5_R1","LD_N2_t5_R2","pool_t0_R1","pool_t0_R2","pool_t0_R3","pool_t1_R1","pool_t1_R2","pool_t1_R3"
"pool_t0_R1",0.00530967325497505,-0.136539082107137,-0.160481872288857,-0.101086655225283,0.00547770464121136,0.0512226357171699,-0.0267506758650959,-0.0988845008201298,0.66617598444868,0.522736877540481,0.629229709222202,0.68336186231734,0.649525430852626,0.535886156358591,0.685007123651968,0.690554672932619,0.520872739123142,0.486513260340057,0.7103922498804,0.658555282461408,0.581102330959408,0.437123485350554,0.643485894101946,0.617083603532061,0.516635918458743,0.432029181096806,0.654329082593586,0.54759198815413,0.442833711877286,0.427747711403311,0.655527422521834,0.496605761729535,-0.233151818070612,-0.267846674240213,-0.260306814532582,-0.311088248990482,-0.140473778335636,-0.20135707889377,-0.137535629764804,-0.106042202203119,0.329768072550182,0.362854139947214,0.376432105860811,0.496054931343167,0.515573143744355,0.509049328468651,0.494402980191271,0.421399536141417,0.525681184057555,0.567417521105433,0.47678595823819,0.453574200178413,0.436010250015869,0.558931969545667,0.408842936094732,0.444960794200598,0.418731376830081,0.37445851908406,0.368277343713837,0.428281955920744,0.426021338290696,0.403497929776106,0.343683106473149,0.436915866134738,-0.0970599920174327,-0.188584196519722,0.152924348059651,-0.132383269975751,0.295673918037593,-0.040879077587923,0.145781894421239,0.043455250356049,0.066459271485208,0.0316804794919366,0.0431566150719268,0.0423197664196645,1,0.917215122756028,0.92284587631416,-0.316846956642867,-0.286562699677573,-0.364263717651505
"pool_t0_R2",0.154332949811088,0.0342085613888142,0.0101772181606984,0.0411838163106581,0.183453637875116,0.168551899648766,0.121883757735195,0.0725013550039359,0.582992547717208,0.399524222321188,0.478547691421418,0.589364452511356,0.517817621066919,0.392304471752411,0.553402789673577,0.566827662980834,0.42201288084123,0.367928410792105,0.580902927812321,0.564407637200153,0.482229957746839,0.313763725415704,0.508124836804174,0.519789382123543,0.430679708510818,0.299084759155205,0.525292989174738,0.467366001122665,0.35981855226692,0.29274835260539,0.54762319454528,0.409822828334211,-0.0617732374931584,-0.119961871318654,-0.0823982374726337,-0.13760851325524,0.00264835636752555,-0.0529662105585399,0.0101504763976755,0.0484475621529971,0.358367885294149,0.357546041020997,0.3760431797551,0.395716315768686,0.492220689757519,0.478137637716793,0.425153371338207,0.284583072374946,0.438149599620055,0.60350141612454,0.443271939354452,0.359786549712545,0.346797657308919,0.556714568882998,0.352653953665283,0.342958657088321,0.3261107245461,0.345752919650336,0.325614655578201,0.316742389283854,0.293267945889771,0.336977238935036,0.305132833290263,0.305002036975579,0.0814771559375474,-0.0243893971880382,0.322108904736784,0.0791078193970791,0.264621018743495,0.0258938010458079,0.093124932498923,0.0652478808341292,0.0100615275388821,0.00303322283184888,-0.0213032012752352,0.00423026462620549,0.917215122756028,1,0.898100717260149,-0.147910812859535,-0.0967085392998644,-0.1681083516521
"pool_t0_R3",0.112566931355449,-0.067790574758595,-0.0507009845585561,0.01286017098767,0.114749781643534,0.123274085232069,0.0585717386077692,-0.0113154775042032,0.70050839921833,0.565950742941579,0.661707520321821,0.744577333158684,0.674620453866529,0.544271449264794,0.706419400781585,0.696989970187698,0.55723221455266,0.505298121172179,0.672827556064891,0.655399222505491,0.586971978710608,0.457149037778835,0.621492338012508,0.62094744592904,0.524620232402485,0.444869123427068,0.642123419471123,0.563639971472876,0.465526949561102,0.438165178562972,0.639365124708307,0.515868585045672,-0.142316273044606,-0.179422148679457,-0.153553090730996,-0.218634456777873,-0.0527540846407343,-0.0239463711992256,0.00307869644549748,0.00146273491931416,0.424602334602745,0.500634067569106,0.443940440423239,0.573831821260872,0.628921417059956,0.607180591174483,0.580686194139908,0.456703668232604,0.542504934736618,0.62806143239771,0.494916625621292,0.464181655909176,0.447148476173355,0.628555840493466,0.437487048818643,0.456729033680506,0.431515173702814,0.440241712869436,0.391154348845887,0.442129947782117,0.433750991441441,0.457356988835665,0.36968263599124,0.44253758120924,-0.0194290429016812,-0.12570489863811,0.33594384692484,-0.0183803572732525,0.344262573600985,-0.0178325196809107,0.135290689406076,0.00718765838215049,0.040802574438684,0.00596545373723385,0.00341172669240083,0.0181828728797992,0.92284587631416,0.898100717260149,1,-0.299975908263391,-0.270130315605221,-0.317303893726398
"pool_t1_R1",0.757261778574354,0.866157313666869,0.871227237961299,0.821495019342849,0.732807913397949,0.738590291090066,0.751262827883834,0.748895969799647,-0.511164388986093,-0.575085518265338,-0.671112160016114,-0.540980524561926,-0.721252536614352,-0.639779662475358,-0.771702705602916,-0.712801980175825,-0.728011645890882,-0.622722979670318,-0.798452801450033,-0.808543264481661,-0.717326958020346,-0.601434094634796,-0.803626262616122,-0.785926912341686,-0.667494168689071,-0.579510694729349,-0.827247255705404,-0.72085594197273,-0.628297742727382,-0.571785848834536,-0.763895995042431,-0.669321720076629,0.907192516204873,0.86469915259695,0.85520664268639,0.914012915894903,0.905357555759254,0.732071903949435,0.799969617092098,0.81306532563123,0.260259883742409,0.0231359816549634,0.126330501791989,-0.352896153263777,-0.300758813538495,-0.361617711758982,-0.393161392198467,-0.461054978388219,-0.594285034989517,-0.362620574695343,-0.628025123873005,-0.58944492694272,-0.599917096176574,-0.468631003082034,-0.602608823260331,-0.601759590732103,-0.579566379463256,-0.31979964027528,-0.551855395604384,-0.59096669634713,-0.555330205822352,-0.52360610762979,-0.532876234448978,-0.573745857198125,0.820899395400248,0.858092532084931,0.595281136072267,0.830646423632173,-0.504932416728817,0.0435856523363444,-0.448917576653687,-0.142402238449386,-0.36922790683631,-0.30650674806706,-0.346454207299938,-0.306531948097206,-0.316846956642867,-0.147910812859535,-0.299975908263391,1,0.992638048045791,0.990210212019154
"pool_t1_R2",0.781757000044851,0.886683873935379,0.889525022584082,0.838350654228506,0.774388643269456,0.7675426867807,0.794599555301863,0.778105032856361,-0.466340634733091,-0.537943397290968,-0.639977824822685,-0.495798347851852,-0.687558751178335,-0.606625188342521,-0.747643162110711,-0.672798576426485,-0.690129709859119,-0.583885166109513,-0.784136839502904,-0.775019996208831,-0.67348577273258,-0.564705895391903,-0.790600240072609,-0.746916633315982,-0.617697517494311,-0.54581516694914,-0.806966038101913,-0.673717171584492,-0.579283556760155,-0.538938338664072,-0.731665698985312,-0.622025695560336,0.91487773688019,0.873523818400334,0.878583762360241,0.928894910447441,0.90738335964954,0.749981776096301,0.807871127377806,0.835737985218199,0.295876875200308,0.057549363656904,0.171652916263746,-0.319130116476878,-0.248432707274443,-0.313044251613784,-0.351951089257321,-0.438737037387683,-0.544061285975243,-0.305400195263291,-0.569555350523162,-0.541476283482924,-0.55012062823973,-0.417438017342945,-0.547271996131924,-0.555465549754181,-0.531590689160774,-0.264392637051572,-0.492346712761509,-0.549013374284998,-0.525901287218306,-0.478743566233035,-0.472570408125726,-0.538562576751912,0.852571835530039,0.882842727953262,0.62935761949913,0.855288447183268,-0.49357694177889,0.0254287379782365,-0.456642165982571,-0.166532690560243,-0.393600098789826,-0.332380620893914,-0.373644130286365,-0.332807336791061,-0.286562699677573,-0.0967085392998644,-0.270130315605221,0.992638048045791,1,0.986931117486826
"pool_t1_R3",0.765238008956733,0.853770222099688,0.881610813124736,0.829603960197552,0.731121075311931,0.718901062711721,0.743420010193816,0.753679785796732,-0.524704678396109,-0.578911632374063,-0.67797914826787,-0.549267041345544,-0.731679918682987,-0.648330470292424,-0.795828527429271,-0.732367301909257,-0.737688367154611,-0.622971686058943,-0.830704654831683,-0.822977474153852,-0.724120762331545,-0.599566959362869,-0.832006285396082,-0.796016102076479,-0.667077205431354,-0.578672344846601,-0.848217156247872,-0.720787578181718,-0.621629477775492,-0.57138298756908,-0.781086025296686,-0.666193457413105,0.920862670901982,0.874888147053761,0.861470333905327,0.921817505424994,0.902891624995821,0.750234089540043,0.812098973820498,0.815720630182882,0.266036708908116,0.0178279039955368,0.109199816425953,-0.353217462775089,-0.296676707150425,-0.36432974047688,-0.393209279539578,-0.463281709460622,-0.598631962428345,-0.389565502693386,-0.626836851099745,-0.587059853465395,-0.595964731012567,-0.467242381802898,-0.593123055825667,-0.598681405781495,-0.574665239856783,-0.310808437432643,-0.539030982346615,-0.588372117217178,-0.563846203225991,-0.514542212857779,-0.517475710478417,-0.574147130142255,0.809196843517899,0.844059893209929,0.616611464306446,0.830111720404242,-0.525834940481648,0.0354176990361866,-0.47115472210208,-0.169832000925901,-0.392586418228083,-0.323116790041405,-0.374932377560806,-0.324370598577134,-0.364263717651505,-0.1681083516521,-0.317303893726398,0.990210212019154,0.986931117486826,1
