sgRNA	condition	time	group	reference_group	baseMean	log2FoldChange	lfcSE	stat	pvalue	padj	fitness
2A1	LD_N2	3.4	6	5	2686.8098544024847	0.09319595837090629	0.11555649653691485	0.8064969185106314	0.4199563840886037	0.9459480587811423	1.014784137309929
2A1	LD_N2	5.8	7	5	2686.8098544024847	0.164042922410624	0.11474871477316483	1.4295839629655454	0.1528364610117578	0.24792837044137106	1.014784137309929
2A1	LD_N2	7.4	8	5	2686.8098544024847	0.5001821791800939	0.12175007023279578	4.108270149033228	3.986336612993038e-5	1.594534645197215e-4	1.014784137309929
2A1	LD_N2	9.5	9	5	2686.8098544024847	1.5535488393052195	0.11875322949041661	13.08216076288343	4.1643181571552426e-39	1.665727262862097e-38	1.014784137309929
2A1	LD_N2	10.8	10	5	2686.8098544024847	2.023246398576449	0.11486715570213016	17.613793831746534	1.930605092058889e-69	7.722420368235556e-69	1.014784137309929
2A1	pool	0	1	1	NA	0	0	NA	1	1	-0.08610375116513863
2A1	pool	1	2	1	2686.8098544024847	-0.08610375116513863	0.09641983390173002	-0.8930087066204094	0.3718525101095608	0.7798018639714184	-0.08610375116513863
2B4	HL_5N2	0	26	26	NA	0	0	NA	1	1	-1.371640849491994
2B4	HL_5N2	2.2	27	26	2028.1400353209067	-0.12557995928127824	0.12036878047052078	-1.0432934419571835	0.29681240748444204	0.9837356909970835	-1.371640849491994
2B4	HL_5N2	4.1	28	26	2028.1400353209067	-0.5597927238333054	0.11972217567178267	-4.675764708519601	2.928602393232478e-6	4.6857638291719645e-5	-1.371640849491994
2B4	HL_5N2	5.2	29	26	2028.1400353209067	-0.7249389101676766	0.11988549657317353	-6.046927534100854	1.4763411957448527e-9	2.3621459131917643e-8	-1.371640849491994
2B4	HL_5N2	7.3	30	26	2028.1400353209067	-1.0401020097712157	0.12597114977253632	-8.25666838517635	1.497948507450931e-16	2.3967176119214897e-15	-1.371640849491994
2B4	HL_5N2	8.8	31	26	2028.1400353209067	-1.1259759789421058	0.12201788418786788	-9.227958560635823	2.758387036949007e-20	4.413419259118412e-19	-1.371640849491994
2B4	HL_5N2	10.01	32	26	2028.1400353209067	-1.1119780816254603	0.12124009288012468	-9.171702653881345	4.656058076156699e-20	1.8624232304626795e-19	-1.371640849491994
2B4	HL_5N2	11.6	33	26	2028.1400353209067	-0.9356431260104647	0.12534339060340233	-7.464638713746966	8.35284785178006e-14	3.341139140712024e-13	-1.371640849491994
2B4	HL_5O2	0	18	18	NA	0	0	NA	1	1	-0.9719333870102037
2B4	HL_5O2	2.3	19	18	2028.1400353209067	-0.12926079302894977	0.11995970070289164	-1.0775351411478966	0.28124126021267437	0.9930212054609951	-0.9719333870102037
2B4	HL_5O2	3.3	20	18	2028.1400353209067	-0.27118454058369845	0.11998145454933494	-2.260220478258918	0.023807570513038626	0.380921128208618	-0.9719333870102037
