task_id	hash	native_id	name	status	exit	submit	duration	realtime	%cpu	peak_rss	peak_vmem	rchar	wchar
11	de/e38ce5	176168	NFCORE_CRISPRISCREEN:CRISPRISCREEN:TRIMGALORE (LD_N2_t2_R2)	COMPLETED	0	2024-09-04 10:46:14.252	6s	4s	69.4%	15.4 MB	303.5 MB	150.9 MB	126.4 MB
12	37/e7c951	176723	NFCORE_CRISPRISCREEN:CRISPRISCREEN:TRIMGALORE (LD_N2_t3_R2)	COMPLETED	0	2024-09-04 10:46:20.249	5.8s	1s	99.9%	10.4 MB	16.9 MB	19.7 MB	3.4 MB
13	df/00e8d1	176970	NFCORE_CRISPRISCREEN:CRISPRISCREEN:TRIMGALORE (LD_N2_t4_R2)	COMPLETED	0	2024-09-04 10:46:26.075	2s	1s	105.3%	10.4 MB	17 MB	21 MB	4.7 MB
14	e8/16ae88	177206	NFCORE_CRISPRISCREEN:CRISPRISCREEN:TRIMGALORE (LD_N2_t5_R2)	COMPLETED	0	2024-09-04 10:46:28.041	3.1s	2s	201.9%	139.7 MB	627.9 MB	209.3 MB	181.5 MB
15	6b/bd5403	177727	NFCORE_CRISPRISCREEN:CRISPRISCREEN:TRIMGALORE (LD_N2_t0_R3)	COMPLETED	0	2024-09-04 10:46:31.095	2.8s	2s	181.8%	139.6 MB	691.2 MB	152.3 MB	127.7 MB
17	b6/4fc058	178226	NFCORE_CRISPRISCREEN:CRISPRISCREEN:TRIMGALORE (LD_N2_t2_R3)	COMPLETED	0	2024-09-04 10:46:33.941	4.4s	4s	235.6%	177.7 MB	693.2 MB	424.6 MB	382.9 MB
16	be/124e10	179108	NFCORE_CRISPRISCREEN:CRISPRISCREEN:TRIMGALORE (LD_N2_t1_R3)	COMPLETED	0	2024-09-04 10:46:38.324	7.8s	3s	219.9%	140.1 MB	626.9 MB	297.2 MB	263.8 MB
21	14/be7cc4	179891	NFCORE_CRISPRISCREEN:CRISPRISCREEN:TRIMGALORE (HL_5N2_t0_R1)	COMPLETED	0	2024-09-04 10:46:46.151	27.1s	2s	151.9%	49.3 MB	280.6 MB	85.2 MB	64.7 MB
19	e7/da5d90	180440	NFCORE_CRISPRISCREEN:CRISPRISCREEN:TRIMGALORE (LD_N2_t4_R3)	COMPLETED	0	2024-09-04 10:47:13.221	3.7s	2s	228.8%	181.1 MB	630.1 MB	334.8 MB	299 MB
18	a5/329cf9	181227	NFCORE_CRISPRISCREEN:CRISPRISCREEN:TRIMGALORE (LD_N2_t3_R3)	COMPLETED	0	2024-09-04 10:47:16.973	3.7s	3s	223.6%	176.4 MB	630 MB	318.7 MB	283.7 MB
20	40/e5351b	181999	NFCORE_CRISPRISCREEN:CRISPRISCREEN:TRIMGALORE (LD_N2_t5_R3)	COMPLETED	0	2024-09-04 10:47:20.694	2.4s	1s	146.9%	49.4 MB	280.6 MB	80.8 MB	60.7 MB
22	c8/efd11f	182462	NFCORE_CRISPRISCREEN:CRISPRISCREEN:TRIMGALORE (HL_5N2_t1_R1)	COMPLETED	0	2024-09-04 10:47:23.096	2.4s	2s	142.0%	19.2 MB	246.3 MB	69.8 MB	50.4 MB
23	b9/763cb8	182937	NFCORE_CRISPRISCREEN:CRISPRISCREEN:TRIMGALORE (HL_5N2_t2_R1)	COMPLETED	0	2024-09-04 10:47:25.478	3.5s	2s	216.2%	140.1 MB	691.3 MB	267 MB	235.1 MB
24	c9/48b456	183691	NFCORE_CRISPRISCREEN:CRISPRISCREEN:TRIMGALORE (HL_5N2_t3_R1)	COMPLETED	0	2024-09-04 10:47:28.997	3.4s	3s	206.4%	139.4 MB	626.6 MB	240.9 MB	210.6 MB
25	e9/1b645e	184296	NFCORE_CRISPRISCREEN:CRISPRISCREEN:TRIMGALORE (HL_5N2_t4_R1)	COMPLETED	0	2024-09-04 10:47:32.443	2.5s	1s	138.1%	10.1 MB	17 MB	67.8 MB	48.5 MB
26	63/c33ab3	184764	NFCORE_CRISPRISCREEN:CRISPRISCREEN:TRIMGALORE (HL_5N2_t5_R1)	COMPLETED	0	2024-09-04 10:47:34.935	4.3s	2s	167.2%	134.8 MB	691.2 MB	115.6 MB	93.2 MB
27	08/4a441c	185258	NFCORE_CRISPRISCREEN:CRISPRISCREEN:TRIMGALORE (HL_5N2_t6_R1)	COMPLETED	0	2024-09-04 10:47:39.260	2.6s	1s	154.5%	105.6 MB	469.2 MB	93.8 MB	72.9 MB
28	22/d8a2a0	185733	NFCORE_CRISPRISCREEN:CRISPRISCREEN:TRIMGALORE (HL_5N2_t7_R1)	COMPLETED	0	2024-09-04 10:47:41.883	2.6s	2s	159.5%	132.3 MB	627.8 MB	100.2 MB	78.9 MB
29	db/8bb9d1	186217	NFCORE_CRISPRISCREEN:CRISPRISCREEN:TRIMGALORE (HL_5N2_t0_R2)	COMPLETED	0	2024-09-04 10:47:44.484	2.6s	1s	146.3%	105.1 MB	469.4 MB	79.8 MB	59.6 MB
30	cf/a7cfc6	186681	NFCORE_CRISPRISCREEN:CRISPRISCREEN:TRIMGALORE (HL_5N2_t1_R2)	COMPLETED	0	2024-09-04 10:47:47.080	5s	2s	152.9%	112.8 MB	534.7 MB	168.2 MB	142.6 MB
32	97/e78976	187274	NFCORE_CRISPRISCREEN:CRISPRISCREEN:TRIMGALORE (HL_5N2_t3_R2)	COMPLETED	0	2024-09-04 10:47:52.037	6.2s	2s	183.0%	139.7 MB	627.9 MB	153.1 MB	128.3 MB
31	ec/2bb752	187778	NFCORE_CRISPRISCREEN:CRISPRISCREEN:TRIMGALORE (HL_5N2_t2_R2)	COMPLETED	0	2024-09-04 10:47:58.286	27.5s	2s	191.8%	139.3 MB	628 MB	175.6 MB	149.6 MB
33	6f/20d215	188342	NFCORE_CRISPRISCREEN:CRISPRISCREEN:TRIMGALORE (HL_5N2_t4_R2)	COMPLETED	0	2024-09-04 10:48:25.788	2.1s	1s	105.7%	10.2 MB	16.9 MB	20 MB	3.7 MB
34	ba/1abd58	188576	NFCORE_CRISPRISCREEN:CRISPRISCREEN:TRIMGALORE (HL_5N2_t5_R2)	COMPLETED	0	2024-09-04 10:48:27.885	2.3s	2s	146.8%	19.2 MB	246.3 MB	78 MB	58 MB
36	2a/344f7e	189050	NFCORE_CRISPRISCREEN:CRISPRISCREEN:TRIMGALORE (HL_5N2_t7_R2)	COMPLETED	0	2024-09-04 10:48:30.229	2.3s	1s	132.4%	17.7 MB	25.9 MB	58.4 MB	39.6 MB
39	18/cc7e4e	189372	NFCORE_CRISPRISCREEN:CRISPRISCREEN:TRIMGALORE (HL_5N2_t2_R3)	COMPLETED	0	2024-09-04 10:48:32.488	3.1s	2s	188.0%	139.6 MB	628 MB	169.4 MB	143.3 MB
35	6f/be5c2d	189877	NFCORE_CRISPRISCREEN:CRISPRISCREEN:TRIMGALORE (HL_5N2_t6_R2)	COMPLETED	0	2024-09-04 10:48:35.552	2.8s	2s	181.7%	136.7 MB	691.2 MB	148.4 MB	124.1 MB
37	94/c347b1	190372	NFCORE_CRISPRISCREEN:CRISPRISCREEN:TRIMGALORE (HL_5N2_t0_R3)	COMPLETED	0	2024-09-04 10:48:38.341	2.8s	1s	181.3%	139.5 MB	691.3 MB	146.6 MB	122.4 MB
